version,model_name,selection_source_file,evaluation_source_file,selection_split,evaluation_split,selection_mode,min_recall,selection_note,best_threshold,selection_accuracy,selection_precision,selection_recall,selection_f1,selection_tn,selection_fp,selection_fn,selection_tp,accuracy,precision,recall,f1,tn,fp,fn,tp
v3,DecisionTree,results_multiversion_smoke_research_clean_smote\v3\DecisionTree_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v3\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.86,0.9705,1.0,0.764,0.8662131519274376,1750,0,59,191,0.9635,1.0,0.708,0.82903981264637,1750,0,73,177
v3,RandomForest,results_multiversion_smoke_research_clean_smote\v3\RandomForest_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v3\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.44,0.9685,0.9473684210526315,0.792,0.8627450980392156,1739,11,52,198,0.959,0.9468085106382979,0.712,0.8127853881278538,1740,10,72,178
v3,XGBoost,results_multiversion_smoke_research_clean_smote\v3\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v3\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.56,0.9715,1.0,0.772,0.871331828442438,1750,0,57,193,0.965,0.9945054945054945,0.724,0.8379629629629629,1749,1,69,181
v3,CatBoost,results_multiversion_smoke_research_clean_smote\v3\CatBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v3\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.69,0.97,0.9797979797979798,0.776,0.8660714285714285,1746,4,56,194,0.9625,0.9888268156424581,0.708,0.8251748251748251,1748,2,73,177
v4,LogisticRegression,results_multiversion_smoke_research_clean_smote\v4\LogisticRegression_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v4\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.77,0.961,0.9257425742574258,0.748,0.827433628318584,1735,15,63,187,0.954,0.9540229885057471,0.664,0.7830188679245284,1742,8,84,166
v4,DecisionTree,results_multiversion_smoke_research_clean_smote\v4\DecisionTree_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v4\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.88,0.9685,0.9698492462311558,0.772,0.8596881959910914,1744,6,57,193,0.9635,0.9836065573770492,0.72,0.8314087759815242,1747,3,70,180
v4,RandomForest,results_multiversion_smoke_research_clean_smote\v4\RandomForest_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v4\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.53,0.9685,0.9605911330049262,0.78,0.8609271523178809,1742,8,55,195,0.961,0.9623655913978495,0.716,0.8211009174311926,1743,7,71,179
v4,XGBoost,results_multiversion_smoke_research_clean_smote\v4\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v4\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.62,0.972,1.0,0.776,0.8738738738738739,1750,0,56,194,0.9625,0.9834254143646409,0.712,0.8259860788863109,1747,3,72,178
v4,CatBoost,results_multiversion_smoke_research_clean_smote\v4\CatBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v4\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.68,0.97,0.9846938775510204,0.772,0.8654708520179372,1747,3,57,193,0.963,0.9835164835164835,0.716,0.8287037037037037,1747,3,71,179
v5,LogisticRegression,results_multiversion_smoke_research_clean_smote\v5\LogisticRegression_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v5\LogisticRegression_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.76,0.961,0.9257425742574258,0.748,0.827433628318584,1735,15,63,187,0.9535,0.9485714285714286,0.664,0.7811764705882354,1741,9,84,166
v5,DecisionTree,results_multiversion_smoke_research_clean_smote\v5\DecisionTree_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v5\DecisionTree_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.88,0.9685,0.9698492462311558,0.772,0.8596881959910914,1744,6,57,193,0.9635,0.9836065573770492,0.72,0.8314087759815242,1747,3,70,180
v5,RandomForest,results_multiversion_smoke_research_clean_smote\v5\RandomForest_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v5\RandomForest_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.68,0.969,0.9795918367346939,0.768,0.8609865470852017,1746,4,58,192,0.9615,0.9832402234636871,0.704,0.8205128205128205,1747,3,74,176
v5,XGBoost,results_multiversion_smoke_research_clean_smote\v5\XGBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v5\XGBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.65,0.9705,1.0,0.764,0.8662131519274376,1750,0,59,191,0.963,0.9835164835164835,0.716,0.8287037037037037,1747,3,71,179
v5,CatBoost,results_multiversion_smoke_research_clean_smote\v5\CatBoost_validation_predictions.csv,results_multiversion_smoke_research_clean_smote\v5\CatBoost_test_predictions.csv,validation,test,max_f1,0.85,Selected threshold with maximum fraud F1 over the threshold grid.,0.74,0.9695,0.9846153846153847,0.768,0.8629213483146068,1747,3,58,192,0.961,0.9777777777777777,0.704,0.8186046511627907,1746,4,74,176
